Open,High,Low,Close,Adj Close,Volume
2.557912,2.564637,2.482445,2.496891,2.494053,183633734
2.470490,2.549693,2.464263,2.528273,2.525399,303810504
2.514326,2.534002,2.473728,2.490913,2.488082,103538639
2.515820,2.540478,2.480951,2.530017,2.527141,117506800
2.509095,2.566132,2.503118,2.547950,2.545054,100186120
2.553678,2.558161,2.515571,2.548199,2.545302,81620792
2.530515,2.654052,2.523043,2.623417,2.620435,174804764
2.655795,2.700129,2.651561,2.677464,2.674421,157628624
2.676219,2.789544,2.659780,2.776842,2.773686,217608605
2.753679,2.845086,2.744712,2.789544,2.786373,215279909
2.798012,2.884189,2.780827,2.838610,2.835383,186207345
2.849818,2.926282,2.828149,2.926282,2.922956,190350817
2.912832,3.028648,2.908349,2.972857,2.969478,213585582
2.984065,2.999258,2.926780,2.934999,2.931663,145262446
2.924040,2.980578,2.909345,2.948448,2.945096,152344894
2.959906,3.054302,2.914575,3.009221,3.005801,171524515
3.012209,3.090914,2.982820,2.984563,2.981171,183336625
2.977838,3.010715,2.934003,2.945460,2.942112,141994242
3.021176,3.173106,2.994028,3.159657,3.156065,340190355
3.155672,3.362895,3.143966,3.264763,3.261052,613229953
3.235373,3.295149,3.212957,3.227901,3.224232,276468402
3.257789,3.343468,3.210466,3.302123,3.298370,303934969
3.368624,3.408972,3.338237,3.363891,3.360067,261693228
3.353929,3.450317,3.293655,3.446332,3.442415,300887589
3.425909,3.448325,3.387304,3.414203,3.410322,268900140
3.410218,3.483941,3.401002,3.458287,3.454356,283643194
3.455050,3.478960,3.412708,3.430392,3.426493,222442656
3.412210,3.458537,3.333754,3.368873,3.365044,210437827
3.348449,3.427403,3.322546,3.422173,3.418283,234419380
3.569620,3.575349,3.488923,3.509346,3.505357,397203256
3.512086,3.546208,3.451065,3.536743,3.532723,209835578
3.609720,3.623917,3.535498,3.589296,3.585216,265150137
3.566631,3.716071,3.517067,3.715075,3.710852,282061287
3.748450,3.795773,3.669994,3.684689,3.680501,363918964
3.686930,3.710841,3.476967,3.499134,3.495157,456613107
3.596519,3.739234,3.527279,3.720554,3.716325,585767401
4.247579,4.487430,4.086682,4.294653,4.289772,1481207196
4.393532,4.842599,4.297641,4.667505,4.662199,1315480331
4.641104,4.798016,4.483196,4.528028,4.522881,895628499
4.550942,4.720307,4.527281,4.631889,4.626624,536262538
4.649572,4.841602,4.622673,4.814454,4.808982,596097978
4.953682,4.980083,4.747206,4.748203,4.742805,849672890
4.820681,4.923296,4.763894,4.882449,4.876899,490828877
4.950943,4.962649,4.815451,4.853558,4.848041,455553149
4.935999,5.021179,4.750942,4.773856,4.768430,557630330
4.693408,4.742225,4.566633,4.600257,4.595028,578544429
4.532511,4.540481,4.198015,4.217940,4.213145,796297573
4.257293,4.369622,4.219185,4.297641,4.292756,449349985
4.336247,4.363644,4.116321,4.201751,4.196975,444226854
4.250817,4.296894,4.142722,4.180829,4.176077,427355853
4.212461,4.576596,4.173606,4.558414,4.553233,601666773
4.613458,4.727281,4.418439,4.533009,4.527856,672354740
4.494404,4.690419,4.452063,4.604491,4.599257,477844390
4.420929,4.469995,4.254802,4.297392,4.292507,839832142
4.209721,4.420929,4.209223,4.296396,4.291512,728034662
4.241352,4.344217,4.127778,4.172859,4.168116,667677273
4.211713,4.233631,4.147454,4.219185,4.214389,352086780
